Names

Abaddon
Sand King
Arc Warden
Meepo
Witch Doctor
Death Prophet
Vengeful Spirit
Viper
Oracle
Outworld Destroyer
Warlock
Riki
Centaur Warrunner
Dark Seer
Axe
Underlord
Jakiro
Drow Ranger
Slardar
Shadow Shaman
Venomancer
Medusa
Troll Warlord
Tidehunter
Wraith King
Zeus
Timbersaw
Treant Protector
Clinkz
Ember Spirit
Dragon Knight
Lone Druid
Silencer
Anti-Mage
Winter Wyvern
Undying
Lich
Faceless Void
Ogre Magi
Necrophos
Visage
Nyx Assassin
Phantom Lancer
Ancient Apparition
Slark
Hoodwink
Juggernaut
Spectre
Pudge
Night Stalker
Bristleback
Bane
Doom
Sniper
Void Spirit
Earthshaker
Crystal Maiden
Kunkka
Elder Titan
Luna
Clockwerk
Io
Disruptor
Lifestealer
Lion
Skywrath Mage
Brewmaster
Grimstroke
Dazzle
Enigma
Storm Spirit
Techies
Phoenix
Spirit Breaker
Bloodseeker
Legion Commander
Dawnbreaker
Nature's Prophet
Razor
Shadow Fiend
Ursa
Bounty Hunter
Naga Siren
Marci
Dark Willow
Morphling
Puck
Pugna
Muerta
Huskar
Magnus
Primal Beast
Chen
Omniknight
Mirana
Weaver
Lycan
Invoker
Mars
Earth Spirit
Tinker
Gyrocopter
Leshrac
Shadow Demon
Sven
Windranger
Queen of Pain
Chaos Knight
Alchemist
Lina
Keeper of the Light
Enchantress
Tiny
Tusk
Phantom Assassin
Broodmother
Rubick
Snapfire
Beastmaster
Templar Assassin
Monkey King
Pangolier
Terrorblade
Batrider
